quarter,scenario,unemployment_rate_log_diff_4_lag2,hpi_cs_log_diff_1_lag2,real_gdp_log_diff_4
2025-10-01,baseline,7.220503909865797,1.3397928778671728,2.15307497543289
2026-01-01,baseline,6.51588862827204,0.8396078801404315,2.221117698579961
2026-04-01,baseline,6.392383982575155,0.8846857455332822,2.221139740641129
2026-07-01,baseline,5.834535308869934,1.0252677473055332,2.1876802822068413
2026-10-01,baseline,5.294603506846444,1.002931394228692,2.2039237289743325
2027-01-01,baseline,4.7998246019463275,0.9616493669054768,2.2161188097294335
2027-04-01,baseline,4.194472073337852,0.9723025258001309,2.2463772578412
2027-07-01,baseline,3.5568568123151207,0.9904468181427388,2.2848702956274782
2027-10-01,baseline,2.8648303045104075,0.9968710252891094,2.3204404332357567
2028-01-01,baseline,2.153523216303375,1.0030387750692689,2.354931159415396
2028-04-01,baseline,1.4754701559540369,1.0121901103066844,2.3837209043668093
2028-07-01,baseline,0.8596213708390241,1.0200287667743289,2.4070262099913857
2028-10-01,baseline,0.8543296880715687,1.0183049573742844,2.404520625958253
2029-01-01,baseline,0.8385849385610253,1.013175975082575,2.3970655696533063
2029-04-01,baseline,0.8127748102941714,1.0047681124653394,2.3848446093046873
2029-07-01,baseline,0.7775348342878418,0.9932883990043098,2.3681586655152214
2029-10-01,baseline,0.733732735706087,0.9790195033438814,2.347418601598477
2030-01-01,baseline,0.6824470675868207,0.9623127730509639,2.323135106760411
2030-04-01,baseline,0.6249406532865135,0.9435795832718278,2.2959061212362344
2030-07-01,baseline,0.5626294915780857,0.9232812073107275,2.2664021130173753
2030-10-01,baseline,0.4970478900616884,0.9019174585502732,2.2353495687043705
2031-01-01,baseline,0.42981068541951206,0.8800143833871643,2.2035131049956926
2031-04-01,baseline,0.36257348077733587,0.8581113082240557,2.171676641287015
2031-07-01,baseline,0.2969918792609384,0.8367475594636014,2.140624096974011
2031-10-01,baseline,0.23468071755251066,0.8164491835025012,2.1111200887551513
2032-01-01,baseline,0.17717430325220346,0.797715993723365,2.083891103230975
2032-04-01,baseline,0.12588863513293716,0.7810092634304474,2.0596076083929087
2032-07-01,baseline,0.08208653655118237,0.7667403677700191,2.0388675444761644
2032-10-01,baseline,0.04684656054485265,0.7552606543089895,2.0221816006866984
2033-01-01,baseline,0.021036432277998732,0.7468527916917538,2.0099606403380794
2033-04-01,baseline,0.005291682767455417,0.7417238094000446,2.0025055840331327
2033-07-01,baseline,0.0,0.74,2.0
2033-10-01,baseline,0.0,0.74,2.0
2034-01-01,baseline,0.0,0.74,2.0
2034-04-01,baseline,0.0,0.74,2.0
2034-07-01,baseline,0.0,0.74,2.0
2034-10-01,baseline,0.0,0.74,2.0
2035-01-01,baseline,0.0,0.74,2.0
2035-04-01,baseline,0.0,0.74,2.0
2035-07-01,baseline,0.0,0.74,2.0
